Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
0,1187,-469.599,5527.93,0,-201033,-7886900,0,-20820600,273.15,0,5.91106,596.145,0,0,0,1.20473E-06,0
1,1186,-1123.08,5326.97,0,1056470,-6598960,0,-17691000,273.15,0,6.6094,1915.69,0,0,0,1.20473E-06,0
2,1213,-595.795,5408.62,0,1159370,-7441740,0,-17619800,273.15,0,5.79801,946.532,0,0,0,1.20473E-06,0
3,1212,-463.069,5372.09,0,1392.28,-7735180,0,-20590800,273.15,0,5.88879,694.155,0,0,0,1.20473E-06,0
4,1215,-525.897,5425.17,0,362507,-7629000,0,-19767600,273.15,0,5.84642,683.34,0,0,0,1.20473E-06,0
5,1214,-696.477,5173.31,0,554655,-7692690,0,-18077300,273.15,0,5.76244,1250.95,0,0,0,1.20473E-06,0
6,1209,-335.581,5022.61,0,443635,-8510570,0,-28891400,273.15,0,5.8446,1257.88,0,0,0,1.20473E-06,0
7,1208,-393.019,5329.16,0,-371223,-7907540,0,-21313600,273.15,0,5.91475,722.228,0,0,0,1.20473E-06,0
8,1211,-472.854,5294.69,0,452120,-7609670,0,-19874200,273.15,0,5.87285,800.229,0,0,0,1.20473E-06,0
9,1210,-356.718,5168.03,0,-154140,-8121020,0,-24043200,273.15,0,5.87067,913.951,0,0,0,1.20473E-06,0
10,1205,-298.947,4542.81,0,3936920,-8029220,0,-34160300,273.15,0,5.66846,3114.81,0,0,0,1.20473E-06,0
11,1204,-454.347,4405.61,0,1494900,-9538650,0,-45767000,273.15,0,5.62847,4306.35,0,0,0,1.20473E-06,0
12,1207,-402.739,5495.18,0,-424621,-7906790,0,-20714200,273.15,0,5.95536,623.23,0,0,0,1.20473E-06,0
13,1206,-286.928,4461.11,0,3689460,-8258880,0,-35315400,273.15,0,5.62625,3596.09,0,0,0,1.20473E-06,0
14,1201,-269.052,4382.13,0,3314210,-8467400,0,-36829300,273.15,0,5.57524,3911.8,0,0,0,1.20473E-06,0
15,1200,-208.261,4368.82,0,4108440,-7935860,0,-36607000,273.15,0,5.53257,3086.19,0,0,0,1.20473E-06,0
16,1203,-392.501,4395.72,0,1656060,-9481140,0,-44097200,273.15,0,5.64951,4215.55,0,0,0,1.20473E-06,0
17,1202,-237.363,4520.25,0,3868440,-7999250,0,-38248100,273.15,0,5.6443,2774.19,0,0,0,1.20473E-06,0
18,1165,-563.824,5987.67,0,43935.6,-7892330,0,-16152600,273.15,0,6.00374,666.68,0,0,0,1.20473E-06,0
19,1164,-435.565,6161.1,0,77252.8,-7634230,0,-11580400,273.15,0,6.14854,607.42,0,0,0,1.20473E-06,0
20,1167,-840.002,6056.28,0,591026,-8038840,0,-13410100,273.15,0,6.86579,1891.27,0,0,0,1.20473E-06,0
21,1166,-668.078,5732.34,0,726622,-7824610,0,-18679100,273.15,0,5.9607,950.714,0,0,0,1.20473E-06,0
22,1161,-354.213,6858.98,0,132821,-6769250,0,-310279,273.15,0,6.66342,842.534,0,0,0,1.20473E-06,0
23,1160,-269.598,6851.51,0,143574,-6685350,0,-339753,273.15,0,7.04377,1338.56,0,0,0,1.20473E-06,0
24,1163,-422.496,6512.82,0,107005,-7070840,0,-4452260,273.15,0,6.35366,624.528,0,0,0,1.20473E-06,0
