Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
0,1187,-469.599,5527.93,0,-201033,-7.8869E+06,0,-2.08206E+07,273.15,0,5.91106,596.145,0,0,0,1.20473E-06,0
1,1186,-1123.08,5326.97,0,1.05647E+06,-6.59896E+06,0,-1.7691E+07,273.15,0,6.6094,1915.69,0,0,0,1.20473E-06,0
2,1213,-595.795,5408.62,0,1.15937E+06,-7.44174E+06,0,-1.76198E+07,273.15,0,5.79801,946.532,0,0,0,1.20473E-06,0
3,1212,-463.069,5372.09,0,1392.28,-7.73518E+06,0,-2.05908E+07,273.15,0,5.88879,694.155,0,0,0,1.20473E-06,0
4,1215,-525.897,5425.17,0,362507,-7.629E+06,0,-1.97676E+07,273.15,0,5.84642,683.34,0,0,0,1.20473E-06,0
5,1214,-696.477,5173.31,0,554655,-7.69269E+06,0,-1.80773E+07,273.15,0,5.76244,1250.95,0,0,0,1.20473E-06,0
6,1209,-335.581,5022.61,0,443635,-8.51057E+06,0,-2.88914E+07,273.15,0,5.8446,1257.88,0,0,0,1.20473E-06,0
7,1208,-393.019,5329.16,0,-371223,-7.90754E+06,0,-2.13136E+07,273.15,0,5.91475,722.228,0,0,0,1.20473E-06,0
8,1211,-472.854,5294.69,0,452120,-7.60967E+06,0,-1.98742E+07,273.15,0,5.87285,800.229,0,0,0,1.20473E-06,0
9,1210,-356.718,5168.03,0,-154140,-8.12102E+06,0,-2.40432E+07,273.15,0,5.87067,913.951,0,0,0,1.20473E-06,0
10,1205,-298.947,4542.81,0,3.93692E+06,-8.02922E+06,0,-3.41603E+07,273.15,0,5.66846,3114.81,0,0,0,1.20473E-06,0
11,1204,-454.347,4405.61,0,1.4949E+06,-9.53865E+06,0,-4.5767E+07,273.15,0,5.62847,4306.35,0,0,0,1.20473E-06,0
12,1207,-402.739,5495.18,0,-424621,-7.90679E+06,0,-2.07142E+07,273.15,0,5.95536,623.23,0,0,0,1.20473E-06,0
13,1206,-286.928,4461.11,0,3.68946E+06,-8.25888E+06,0,-3.53154E+07,273.15,0,5.62625,3596.09,0,0,0,1.20473E-06,0
14,1201,-269.052,4382.13,0,3.31421E+06,-8.4674E+06,0,-3.68293E+07,273.15,0,5.57524,3911.8,0,0,0,1.20473E-06,0
15,1200,-208.261,4368.82,0,4.10844E+06,-7.93586E+06,0,-3.6607E+07,273.15,0,5.53257,3086.19,0,0,0,1.20473E-06,0
16,1203,-392.501,4395.72,0,1.65606E+06,-9.48114E+06,0,-4.40972E+07,273.15,0,5.64951,4215.55,0,0,0,1.20473E-06,0
17,1202,-237.363,4520.25,0,3.86844E+06,-7.99925E+06,0,-3.82481E+07,273.15,0,5.6443,2774.19,0,0,0,1.20473E-06,0
18,1165,-563.824,5987.67,0,43935.6,-7.89233E+06,0,-1.61526E+07,273.15,0,6.00374,666.68,0,0,0,1.20473E-06,0
19,1164,-435.565,6161.1,0,77252.8,-7.63423E+06,0,-1.15804E+07,273.15,0,6.14854,607.42,0,0,0,1.20473E-06,0
20,1167,-840.002,6056.28,0,591026,-8.03884E+06,0,-1.34101E+07,273.15,0,6.86579,1891.27,0,0,0,1.20473E-06,0
21,1166,-668.078,5732.34,0,726622,-7.82461E+06,0,-1.86791E+07,273.15,0,5.9607,950.714,0,0,0,1.20473E-06,0
22,1161,-354.213,6858.98,0,132821,-6.76925E+06,0,-310279,273.15,0,6.66342,842.534,0,0,0,1.20473E-06,0
23,1160,-269.598,6851.51,0,143574,-6.68535E+06,0,-339753,273.15,0,7.04377,1338.56,0,0,0,1.20473E-06,0
24,1163,-422.496,6512.82,0,107005,-7.07084E+06,0,-4.45226E+06,273.15,0,6.35366,624.528,0,0,0,1.20473E-06,0
25,1162,-427.879,6337.59,0,114880,-7.33705E+06,0,-7.66241E+06,273.15,0,6.25846,623.936,0,0,0,1.20473E-06,0
26,1157,-367.671,6699.93,0,126447,-6.86291E+06,0,-1.74366E+06,273.15,0,6.55466,760.407,0,0,0,1.20473E-06,0
27,1156,-539.98,6867.79,0,164280,-6.80646E+06,0,-241488,273.15,0,6.27844,593.861,0,0,0,1.20473E-06,0
28,1159,-405.896,6770.44,0,133735,-6.82407E+06,0,-955734,273.15,0,6.42951,656.661,0,0,0,1.20473E-06,0
29,1158,-94.5954,6657.74,0,103568,-6.50264E+06,0,-2.33128E+06,273.15,0,8.28304,2191.61,0,0,0,1.20473E-06,0
30,1153,-782.142,6649.25,0,215478,-7.03748E+06,0,-2.37493E+06,273.15,0,7.30173,1778.58,0,0,0,1.20473E-06,0
31,1152,-524.609,6713.5,0,146715,-6.89148E+06,0,-1.60557E+06,273.15,0,6.27012,600.677,0,0,0,1.20473E-06,0
32,1155,-616.816,6852.76,0,160503,-6.81296E+06,0,-299632,273.15,0,6.36087,740.03,0,0,0,1.20473E-06,0
