Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
0,1084,529.504,1428.15,0,135279,-7664300,0,-4744120,273.15,0,22.7918,540.865,0,0,0,1.20473E-06,0
1,1085,58.5801,1224.6,0,-56357.6,-7853040,0,-3424690,273.15,0,23.4094,669.039,0,0,0,1.20473E-06,0
2,1086,94.1548,1463.72,0,44984.9,-8112050,0,-4555110,273.15,0,23.7156,573.039,0,0,0,1.20473E-06,0
3,1087,65.9365,1392.36,0,19324.2,-8087080,0,-4425880,273.15,0,23.6665,581.085,0,0,0,1.20473E-06,0
4,1080,583.263,1320.28,0,309125,-7438600,0,-3577120,273.15,0,22.6462,590.822,0,0,0,1.20473E-06,0
5,1081,542.632,1466.8,0,85360.1,-7802580,0,-5165180,273.15,0,22.9443,524.172,0,0,0,1.20473E-06,0
6,1082,568.907,1427.89,0,143709,-7744600,0,-5043570,273.15,0,22.886,530.936,0,0,0,1.20473E-06,0
7,1083,609.043,1420.41,0,123378,-7774920,0,-5338580,273.15,0,22.9764,535.26,0,0,0,1.20473E-06,0
8,1076,569.945,1506.85,0,59488.1,-7893180,0,-5253640,273.15,0,23.0864,514.933,0,0,0,1.20473E-06,0
9,1077,640.647,1487.17,0,63412,-7887050,0,-5458190,273.15,0,23.2025,551.764,0,0,0,1.20473E-06,0
10,1078,635.308,1374.55,0,168898,-7707910,0,-5184760,273.15,0,22.9992,565.726,0,0,0,1.20473E-06,0
11,1079,527.745,1360.25,0,218449,-7435640,0,-3680990,273.15,0,22.5933,572.349,0,0,0,1.20473E-06,0
12,1072,550.988,1086.04,0,319075,-7700800,0,-5071040,273.15,0,22.537,1269.29,0,0,0,1.20473E-06,0
13,1073,463.369,1153.24,0,249842,-7260820,0,-1202790,273.15,0,22.4656,975.675,0,0,0,1.20473E-06,0
14,1074,719.142,1431.94,0,53626.9,-7950070,0,-5700670,273.15,0,24.152,1157.32,0,0,0,1.20473E-06,0
15,1075,754.652,1419.77,0,13061.2,-8270230,0,-5891010,273.15,0,24.7708,1790.27,0,0,0,1.20473E-06,0
16,1068,178.073,506.225,0,1909990,-7579650,0,-12389900,273.15,0,27.3009,4090.55,0,0,0,1.20473E-06,0
17,1069,46.6762,747.717,0,394230,-7465280,0,-4718660,273.15,0,27.0191,4214.34,0,0,0,1.20473E-06,0
18,1070,724.486,1313.55,0,159873,-7862350,0,-5504550,273.15,0,23.7215,1043.4,0,0,0,1.20473E-06,0
19,1071,507.672,1085.33,0,257085,-7742150,0,-5821910,273.15,0,22.5719,1271.83,0,0,0,1.20473E-06,0
20,1064,296.605,741.882,0,786404,-7964090,0,-14739600,273.15,0,24.2259,2346.64,0,0,0,1.20473E-06,0
21,1065,57.3404,518.196,0,905691,-7802900,0,-9322170,273.15,0,31.4662,9217.25,0,0,0,1.20473E-06,0
22,1066,87.8603,608.653,0,1292720,-7590840,0,-7782450,273.15,0,28.9069,5897.84,0,0,0,1.20473E-06,0
23,1067,205.25,589.328,0,1398610,-7834760,0,-14176500,273.15,0,26.0888,3343.9,0,0,0,1.20473E-06,0
24,1060,495.188,887.856,0,286269,-7985610,0,-13994100,273.15,0,23.1208,2070.55,0,0,0,1.20473E-06,0
25,1061,560.139,961.209,0,151519,-8093900,0,-13428600,273.15,0,22.855,1799.25,0,0,0,1.20473E-06,0
26,1062,581.668,768.595,0,335759,-7955810,0,-14335200,273.15,0,23.3306,2234.44,0,0,0,1.20473E-06,0
27,1063,577.797,808.789,0,272604,-8010150,0,-14409000,273.15,0,23.2372,2201.45,0,0,0,1.20473E-06,0
28,1056,604.692,925.686,0,150083,-8155450,0,-13608600,273.15,0,22.9881,1974.6,0,0,0,1.20473E-06,0
29,1057,646.51,841.753,0,288619,-8183280,0,-15292800,273.15,0,23.3566,2339.76,0,0,0,1.20473E-06,0
30,1058,501.963,932.707,0,252460,-8030400,0,-14045100,273.15,0,23.0013,1946.67,0,0,0,1.20473E-06,0
31,1059,561.236,884.134,0,168320,-8061700,0,-14287400,273.15,0,23.0522,2064.75,0,0,0,1.20473E-06,0
32,1052,795.693,167.057,0,2629460,-4873460,0,-8836900,273.15,0,28.0431,26769.7,0,0,0,1.20473E-06,0
33,1053,580.593,688.724,0,405590,-7811400,0,-13855800,273.15,0,23.4732,2162.8,0,0,0,1.20473E-06,0
34,1054,455.808,891.574,0,382470,-7965750,0,-13834100,273.15,0,23.1738,2090.18,0,0,0,1.20473E-06,0
35,1055,503.295,842.164,0,271146,-7943570,0,-13961100,273.15,0,23.1918,2146.83,0,0,0,1.20473E-06,0
36,1048,38.7306,1596.53,0,38135.6,-8461120,0,-4103410,273.15,0,24.3445,681.985,0,0,0,1.20473E-06,0
37,1049,77.261,42.7944,0,-323196,1487570,0,22742200,273.15,0,42.8605,111421,0,0,0,1.20473E-06,0
38,1050,846.057,101.745,0,2468120,-655063,0,10848600,273.15,0,46.6986,115190,0,0,0,1.20473E-06,0
39,1051,857.834,145.425,0,2165160,-4595370,0,-7978010,273.15,0,29.0012,34192.2,0,0,0,1.20473E-06,0
40,1044,350.023,1454.47,0,54301.6,-7297420,0,-4575070,273.15,0,23.071,544.755,0,0,0,1.20473E-06,0
41,1045,339.989,1409.71,0,58616.4,-7201750,0,-4019320,273.15,0,22.9869,556.623,0,0,0,1.20473E-06,0
42,1046,240.265,1731.19,0,47599.6,-7944500,0,-3054820,273.15,0,24.0574,701.048,0,0,0,1.20473E-06,0
43,1047,422.309,1575.01,0,27652.5,-7582330,0,-4743230,273.15,0,23.098,559.058,0,0,0,1.20473E-06,0
44,1040,366.015,1497.81,0,53400.6,-7355410,0,-4727470,273.15,0,23.0683,533.475,0,0,0,1.20473E-06,0
45,1041,292.92,1507.48,0,63899.8,-7502500,0,-4696740,273.15,0,23.3419,595.407,0,0,0,1.20473E-06,0
46,1042,408.199,1439.9,0,57556.8,-7303310,0,-4490990,273.15,0,22.7879,544.202,0,0,0,1.20473E-06,0
47,1043,402.086,1395.93,0,60628.5,-7164990,0,-3749340,273.15,0,22.7431,556.635,0,0,0,1.20473E-06,0
48,1036,66.9105,314.926,0,342961,-8134280,0,-17973400,273.15,0,33.6235,11292,0,0,0,1.20473E-06,0
49,1037,138.308,280.983,0,430863,-7561320,0,-14957600,273.15,0,32.2908,11027.6,0,0,0,1.20473E-06,0
50,1038,104.697,1638.94,0,41623.7,-8227470,0,-3963550,273.15,0,24.2163,603.981,0,0,0,1.20473E-06,0
51,1039,296.226,1358.3,0,44966.4,-7159270,0,-2906770,273.15,0,22.9082,586.736,0,0,0,1.20473E-06,0
52,1032,331.187,382.485,0,585605,-7080940,0,-11365600,273.15,0,25.5519,2873.59,0,0,0,1.20473E-06,0
53,1033,267.64,377.309,0,1396200,-7012150,0,-10838100,273.15,0,26.3232,3805.48,0,0,0,1.20473E-06,0
54,1034,322.296,343.237,0,800064,-6836560,0,-9798780,273.15,0,25.4532,3056.09,0,0,0,1.20473E-06,0
55,1035,62.7841,278.108,0,160489,-7966250,0,-18651100,273.15,0,33.9615,12606.5,0,0,0,1.20473E-06,0
56,1028,423.96,340.43,0,533175,-6999860,0,-11456700,273.15,0,24.3376,2024.46,0,0,0,1.20473E-06,0
57,1029,392.611,344.025,0,574977,-6972610,0,-11074100,273.15,0,24.7511,2271.16,0,0,0,1.20473E-06,0
58,1030,457.289,355.438,0,457674,-7076230,0,-11986800,273.15,0,24.1604,1901.42,0,0,0,1.20473E-06,0
59,1031,365.005,400.393,0,502891,-7159900,0,-11704400,273.15,0,25.2076,2464.72,0,0,0,1.20473E-06,0
60,1024,400.002,612.433,0,338800,-7680540,0,-14222100,273.15,0,24.4478,2389.33,0,0,0,1.20473E-06,0
61,1025,356.696,475.51,0,421995,-7420740,0,-13219900,273.15,0,25.3853,2642.93,0,0,0,1.20473E-06,0
62,1026,473.981,552.391,0,277058,-7596730,0,-13733700,273.15,0,23.8973,1939.52,0,0,0,1.20473E-06,0
63,1027,317.027,588.299,0,667188,-7739500,0,-15137600,273.15,0,25.157,2755.68,0,0,0,1.20473E-06,0
64,1148,133.329,1156.15,0,-216908,-7585080,0,-3224730,273.15,0,22.91,767.608,0,0,0,1.20473E-06,0
65,1149,359.52,1027,0,233687,-7691220,0,-8866320,273.15,0,22.7939,1354.83,0,0,0,1.20473E-06,0
66,1150,355.163,1149.14,0,-4249.52,-7171220,0,-1911680,273.15,0,22.5016,899.537,0,0,0,1.20473E-06,0
67,1151,626.518,1328.34,0,255299,-7566630,0,-4519760,273.15,0,22.8637,590.544,0,0,0,1.20473E-06,0
68,1144,732.417,1114.67,0,876033,-7614220,0,-3913510,273.15,0,23.3179,1534.48,0,0,0,1.20473E-06,0
69,1145,662.103,1099.6,0,567239,-7495330,0,-2644710,273.15,0,22.804,1203.53,0,0,0,1.20473E-06,0
70,1146,734.353,1017.33,0,917208,-7909140,0,-7222440,273.15,0,23.622,2306.95,0,0,0,1.20473E-06,0
71,1147,726.166,903.881,0,545087,-8274050,0,-13653200,273.15,0,24.2402,3135.27,0,0,0,1.20473E-06,0
72,1140,774.697,954.379,0,1179660,-8070100,0,-10015200,273.15,0,24.7057,3545.52,0,0,0,1.20473E-06,0
73,1141,575.045,1058.53,0,286739,-7855540,0,-7305510,273.15,0,22.611,1405.7,0,0,0,1.20473E-06,0
74,1142,673.741,1154.86,0,585359,-7298440,0,-2593960,273.15,0,22.8415,964.562,0,0,0,1.20473E-06,0
75,1143,702.945,1177.56,0,595777,-7416710,0,-3532790,273.15,0,23.0283,1049.1,0,0,0,1.20473E-06,0
76,1136,172.604,1155.38,0,-270608,-7474190,0,-2676910,273.15,0,22.8064,737.754,0,0,0,1.20473E-06,0
77,1137,117.157,1072.42,0,-252842,-7652230,0,-4159790,273.15,0,23.246,1041.8,0,0,0,1.20473E-06,0
78,1138,278.091,1102.87,0,-70191.1,-7386840,0,-4018640,273.15,0,22.6924,938.691,0,0,0,1.20473E-06,0
79,1139,710.383,964.796,0,563480,-8136020,0,-10655200,273.15,0,23.62,2471.57,0,0,0,1.20473E-06,0
