Node,Global Id,X,Y,Z,Vx Vel,Vy Vel,Vz Vel,Press,Temp,Scal1,TurbK,TurbD,HeatFlux,Shear Mag,NVol,Density,Mach
0,1084,529.504,1428.15,0,135279,-7.6643E+06,0,-4.74412E+06,273.15,0,22.7918,540.865,0,0,0,1.20473E-06,0
1,1085,58.5801,1224.6,0,-56357.6,-7.85304E+06,0,-3.42469E+06,273.15,0,23.4094,669.039,0,0,0,1.20473E-06,0
2,1086,94.1548,1463.72,0,44984.9,-8.11205E+06,0,-4.55511E+06,273.15,0,23.7156,573.039,0,0,0,1.20473E-06,0
3,1087,65.9365,1392.36,0,19324.2,-8.08708E+06,0,-4.42588E+06,273.15,0,23.6665,581.085,0,0,0,1.20473E-06,0
4,1080,583.263,1320.28,0,309125,-7.4386E+06,0,-3.57712E+06,273.15,0,22.6462,590.822,0,0,0,1.20473E-06,0
5,1081,542.632,1466.8,0,85360.1,-7.80258E+06,0,-5.16518E+06,273.15,0,22.9443,524.172,0,0,0,1.20473E-06,0
6,1082,568.907,1427.89,0,143709,-7.7446E+06,0,-5.04357E+06,273.15,0,22.886,530.936,0,0,0,1.20473E-06,0
7,1083,609.043,1420.41,0,123378,-7.77492E+06,0,-5.33858E+06,273.15,0,22.9764,535.26,0,0,0,1.20473E-06,0
8,1076,569.945,1506.85,0,59488.1,-7.89318E+06,0,-5.25364E+06,273.15,0,23.0864,514.933,0,0,0,1.20473E-06,0
9,1077,640.647,1487.17,0,63412,-7.88705E+06,0,-5.45819E+06,273.15,0,23.2025,551.764,0,0,0,1.20473E-06,0
10,1078,635.308,1374.55,0,168898,-7.70791E+06,0,-5.18476E+06,273.15,0,22.9992,565.726,0,0,0,1.20473E-06,0
11,1079,527.745,1360.25,0,218449,-7.43564E+06,0,-3.68099E+06,273.15,0,22.5933,572.349,0,0,0,1.20473E-06,0
12,1072,550.988,1086.04,0,319075,-7.7008E+06,0,-5.07104E+06,273.15,0,22.537,1269.29,0,0,0,1.20473E-06,0
13,1073,463.369,1153.24,0,249842,-7.26082E+06,0,-1.20279E+06,273.15,0,22.4656,975.675,0,0,0,1.20473E-06,0
14,1074,719.142,1431.94,0,53626.9,-7.95007E+06,0,-5.70067E+06,273.15,0,24.152,1157.32,0,0,0,1.20473E-06,0
15,1075,754.652,1419.77,0,13061.2,-8.27023E+06,0,-5.89101E+06,273.15,0,24.7708,1790.27,0,0,0,1.20473E-06,0
16,1068,178.073,506.225,0,1.90999E+06,-7.57965E+06,0,-1.23899E+07,273.15,0,27.3009,4090.55,0,0,0,1.20473E-06,0
17,1069,46.6762,747.717,0,394230,-7.46528E+06,0,-4.71866E+06,273.15,0,27.0191,4214.34,0,0,0,1.20473E-06,0
18,1070,724.486,1313.55,0,159873,-7.86235E+06,0,-5.50455E+06,273.15,0,23.7215,1043.4,0,0,0,1.20473E-06,0
19,1071,507.672,1085.33,0,257085,-7.74215E+06,0,-5.82191E+06,273.15,0,22.5719,1271.83,0,0,0,1.20473E-06,0
20,1064,296.605,741.882,0,786404,-7.96409E+06,0,-1.47396E+07,273.15,0,24.2259,2346.64,0,0,0,1.20473E-06,0
21,1065,57.3404,518.196,0,905691,-7.8029E+06,0,-9.32217E+06,273.15,0,31.4662,9217.25,0,0,0,1.20473E-06,0
22,1066,87.8603,608.653,0,1.29272E+06,-7.59084E+06,0,-7.78245E+06,273.15,0,28.9069,5897.84,0,0,0,1.20473E-06,0
23,1067,205.25,589.328,0,1.39861E+06,-7.83476E+06,0,-1.41765E+07,273.15,0,26.0888,3343.9,0,0,0,1.20473E-06,0
24,1060,495.188,887.856,0,286269,-7.98561E+06,0,-1.39941E+07,273.15,0,23.1208,2070.55,0,0,0,1.20473E-06,0
25,1061,560.139,961.209,0,151519,-8.0939E+06,0,-1.34286E+07,273.15,0,22.855,1799.25,0,0,0,1.20473E-06,0
26,1062,581.668,768.595,0,335759,-7.95581E+06,0,-1.43352E+07,273.15,0,23.3306,2234.44,0,0,0,1.20473E-06,0
27,1063,577.797,808.789,0,272604,-8.01015E+06,0,-1.4409E+07,273.15,0,23.2372,2201.45,0,0,0,1.20473E-06,0
28,1056,604.692,925.686,0,150083,-8.15545E+06,0,-1.36086E+07,273.15,0,22.9881,1974.6,0,0,0,1.20473E-06,0
29,1057,646.51,841.753,0,288619,-8.18328E+06,0,-1.52928E+07,273.15,0,23.3566,2339.76,0,0,0,1.20473E-06,0
30,1058,501.963,932.707,0,252460,-8.0304E+06,0,-1.40451E+07,273.15,0,23.0013,1946.67,0,0,0,1.20473E-06,0
31,1059,561.236,884.134,0,168320,-8.0617E+06,0,-1.42874E+07,273.15,0,23.0522,2064.75,0,0,0,1.20473E-06,0
32,1052,795.693,167.057,0,2.62946E+06,-4.87346E+06,0,-8.8369E+06,273.15,0,28.0431,26769.7,0,0,0,1.20473E-06,0
33,1053,580.593,688.724,0,405590,-7.8114E+06,0,-1.38558E+07,273.15,0,23.4732,2162.8,0,0,0,1.20473E-06,0
34,1054,455.808,891.574,0,382470,-7.96575E+06,0,-1.38341E+07,273.15,0,23.1738,2090.18,0,0,0,1.20473E-06,0
35,1055,503.295,842.164,0,271146,-7.94357E+06,0,-1.39611E+07,273.15,0,23.1918,2146.83,0,0,0,1.20473E-06,0
36,1048,38.7306,1596.53,0,38135.6,-8.46112E+06,0,-4.10341E+06,273.15,0,24.3445,681.985,0,0,0,1.20473E-06,0
37,1049,77.261,42.7944,0,-323196,1.48757E+06,0,2.27422E+07,273.15,0,42.8605,111421,0,0,0,1.20473E-06,0
38,1050,846.057,101.745,0,2.46812E+06,-655063,0,1.08486E+07,273.15,0,46.6986,115190,0,0,0,1.20473E-06,0
39,1051,857.834,145.425,0,2.16516E+06,-4.59537E+06,0,-7.97801E+06,273.15,0,29.0012,34192.2,0,0,0,1.20473E-06,0
